,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
82,JAKARTA PUSAT,11,2019,2019-11-01,106.84999999999997,-6.200000000000003,648,55.12840842196014,77.83759466898773,89.0111496631847
83,JAKARTA PUSAT,12,2019,2019-12-01,106.84999999999997,-6.200000000000003,515,51.11516707974828,72.57785439899612,86.28383130495018
132,JAKARTA PUSAT,1,2020,2020-01-01,106.84999999999997,-6.200000000000003,840,40.53318801193021,58.03606679677404,77.96997325340837
133,JAKARTA PUSAT,2,2020,2020-02-01,106.84999999999997,-6.200000000000003,714,39.45407074231398,56.72672447332196,71.04565102373893
134,JAKARTA PUSAT,3,2020,2020-03-01,106.84999999999997,-6.200000000000003,630,48.19747786655195,68.64378698641869,94.71558141977368
135,JAKARTA PUSAT,4,2020,2020-04-01,106.84999999999997,-6.200000000000003,358,52.43751689458093,74.58419633602934,110.11991424835036
136,JAKARTA PUSAT,5,2020,2020-05-01,106.84999999999997,-6.200000000000003,288,56.94716226874716,81.01211465809037,123.21144407963178
137,JAKARTA PUSAT,6,2020,2020-06-01,106.84999999999997,-6.200000000000003,391,60.173134267909326,85.73914338209602,119.42390271559358
138,JAKARTA PUSAT,7,2020,2020-07-01,106.84999999999997,-6.200000000000003,414,61.47864108167415,87.68737679076996,125.37349110211252
139,JAKARTA PUSAT,8,2020,2020-08-01,106.84999999999997,-6.200000000000003,327,58.03431146015833,82.63226076129314,110.11139054441604
140,JAKARTA PUSAT,9,2020,2020-09-01,106.84999999999997,-6.200000000000003,296,55.11527509346194,78.31073855158044,104.71764834700284
141,JAKARTA PUSAT,10,2020,2020-10-01,106.84999999999997,-6.200000000000003,324,57.814672646354666,81.80891537534869,102.5518313325
142,JAKARTA PUSAT,11,2020,2020-11-01,106.84999999999997,-6.200000000000003,337,50.52768560887037,71.72794462680629,96.03610532836542
143,JAKARTA PUSAT,12,2020,2020-12-01,106.84999999999997,-6.200000000000003,286,31.601573763732056,45.36880590322258,70.0270445317249
192,JAKARTA PUSAT,1,2021,2021-01-01,106.84999999999997,-6.200000000000003,447,40.17870171087643,57.73704743935091,78.03105310190577
193,JAKARTA PUSAT,2,2021,2021-02-01,106.84999999999997,-6.200000000000003,397,38.09197954988507,54.78848818777738,65.59872155035008
194,JAKARTA PUSAT,3,2021,2021-03-01,106.84999999999997,-6.200000000000003,453,47.97457590891931,68.22575603138147,100.70663677866652
195,JAKARTA PUSAT,4,2021,2021-04-01,106.84999999999997,-6.200000000000003,464,61.49780557980997,87.15647808799142,119.02659908168972
196,JAKARTA PUSAT,5,2021,2021-05-01,106.84999999999997,-6.200000000000003,467,65.18109853933267,92.68933562604464,126.720546186242
197,JAKARTA PUSAT,6,2021,2021-06-01,106.84999999999997,-6.200000000000003,466,60.50684868104948,85.93839268655886,117.10905004053744
198,JAKARTA PUSAT,7,2021,2021-07-01,106.84999999999997,-6.200000000000003,318,63.25307863856383,90.0034801295173,126.5226467605655
199,JAKARTA PUSAT,8,2021,2021-08-01,106.84999999999997,-6.200000000000003,506,63.65321183921112,90.27131435838685,111.44752553811364
200,JAKARTA PUSAT,9,2021,2021-09-01,106.84999999999997,-6.200000000000003,594,57.55683722223269,81.52621193839269,104.24127297431336
201,JAKARTA PUSAT,10,2021,2021-10-01,106.84999999999997,-6.200000000000003,566,60.91177882675996,86.23043104449945,103.52580063291082
202,JAKARTA PUSAT,11,2021,2021-11-01,106.84999999999997,-6.200000000000003,567,42.553280135137925,60.75646613368221,87.33099520969337
203,JAKARTA PUSAT,12,2021,2021-12-01,106.84999999999997,-6.200000000000003,506,44.47647510730224,63.3404685501658,88.17734372913887
252,JAKARTA PUSAT,1,2022,2022-01-01,106.84999999999997,-6.200000000000003,955,42.58204522026656,60.361642522839816,81.39630373532304
253,JAKARTA PUSAT,2,2022,2022-02-01,106.84999999999997,-6.200000000000003,504,45.01013937859475,63.673340614892986,76.90853735500356
254,JAKARTA PUSAT,3,2022,2022-03-01,106.84999999999997,-6.200000000000003,814,50.82232929609614,71.4831048872116,99.13097494838112
255,JAKARTA PUSAT,4,2022,2022-04-01,106.84999999999997,-6.200000000000003,687,54.61809863049916,77.26041001632242,112.07227033788703
256,JAKARTA PUSAT,5,2022,2022-05-01,106.84999999999997,-6.200000000000003,740,59.80001694420463,85.0107032116899,126.38608436326328
257,JAKARTA PUSAT,6,2022,2022-06-01,106.84999999999997,-6.200000000000003,772,64.61928670376062,91.89147327504202,123.37046563774577
258,JAKARTA PUSAT,7,2022,2022-07-01,106.84999999999997,-6.200000000000003,774,63.80662168699895,90.85182985776116,125.5040905795375
259,JAKARTA PUSAT,8,2022,2022-08-01,106.84999999999997,-6.200000000000003,855,65.2351581583366,92.70262201729172,115.258836461273
260,JAKARTA PUSAT,9,2022,2022-09-01,106.84999999999997,-6.200000000000003,893,64.9306246221699,92.34925522368704,108.3195728098139
261,JAKARTA PUSAT,10,2022,2022-10-01,106.84999999999997,-6.200000000000003,833,52.23613099995365,74.18542152729925,99.51278226972596
262,JAKARTA PUSAT,11,2022,2022-11-01,106.84999999999997,-6.200000000000003,836,48.89824338623804,69.70518726963826,96.4709545784842
