,KABKOT,month,year,time,longitude,latitude,tb,rh,tp
30,JAKARTA SELATAN,7,2020,2020-07-01,106.8083333333333,-6.283333333333336,454,77.35538228352867,1.604005942742081
31,JAKARTA SELATAN,8,2020,2020-08-01,106.8083333333333,-6.283333333333336,391,74.60863749186193,1.89568813269349
32,JAKARTA SELATAN,9,2020,2020-09-01,106.8083333333333,-6.283333333333336,362,74.41561381022136,2.393921837210712
33,JAKARTA SELATAN,10,2020,2020-10-01,106.8083333333333,-6.283333333333336,315,78.83002217610654,7.755372393876375
34,JAKARTA SELATAN,11,2020,2020-11-01,106.8083333333333,-6.283333333333336,325,81.73450215657539,5.994430401672602
35,JAKARTA SELATAN,12,2020,2020-12-01,106.8083333333333,-6.283333333333336,278,83.18682861328124,9.690254895637423
84,JAKARTA SELATAN,1,2021,2021-01-01,106.8083333333333,-6.283333333333336,335,86.41425069173185,11.105528101324891
85,JAKARTA SELATAN,2,2021,2021-02-01,106.8083333333333,-6.283333333333336,341,87.12861124674471,13.23107307155891
86,JAKARTA SELATAN,3,2021,2021-03-01,106.8083333333333,-6.283333333333336,445,83.14095560709632,8.64465379466594
87,JAKARTA SELATAN,4,2021,2021-04-01,106.8083333333333,-6.283333333333336,448,81.7409973144531,5.532641631240549
88,JAKARTA SELATAN,5,2021,2021-05-01,106.8083333333333,-6.283333333333336,373,81.49474080403635,4.05682766189187
89,JAKARTA SELATAN,6,2021,2021-06-01,106.8083333333333,-6.283333333333336,412,84.13217671712246,4.931611567735623
90,JAKARTA SELATAN,7,2021,2021-07-01,106.8083333333333,-6.283333333333336,290,78.07397969563804,1.5440684432784393
91,JAKARTA SELATAN,8,2021,2021-08-01,106.8083333333333,-6.283333333333336,384,79.3603973388674,5.851865683992853
92,JAKARTA SELATAN,9,2021,2021-09-01,106.8083333333333,-6.283333333333336,486,79.73533630371112,5.79701301952219
93,JAKARTA SELATAN,10,2021,2021-10-01,106.8083333333333,-6.283333333333336,532,80.20740763346353,4.822107125073551
94,JAKARTA SELATAN,11,2021,2021-11-01,106.8083333333333,-6.283333333333336,567,82.29898071289061,9.453503166635477
95,JAKARTA SELATAN,12,2021,2021-12-01,106.8083333333333,-6.283333333333336,567,83.90416463216141,7.86887997140474
