,KABKOT,month,year,longitude,latitude,pm10,time
178,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,60.62781112308661,2021-12-01
2,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,57.999436168366195,2022-01-01
5,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,61.461499711867354,2022-02-01
8,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,68.61993180587051,2022-03-01
11,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,74.81471685031018,2022-04-01
14,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,82.92695969518873,2022-05-01
17,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,90.11142833396441,2022-06-01
20,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,89.7791189973736,2022-07-01
23,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,92.40035158342188,2022-08-01
26,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,91.6635456052162,2022-09-01
29,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,71.97988026557543,2022-10-01
32,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,67.31330980219012,2022-11-01
35,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,56.019231464451515,2022-12-01
38,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,60.361642522839816,2022-01-01
41,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,63.673340614892986,2022-02-01
44,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,71.4831048872116,2022-03-01
47,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,77.26041001632242,2022-04-01
50,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,85.0107032116899,2022-05-01
53,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,91.89147327504202,2022-06-01
56,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,90.85182985776116,2022-07-01
59,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,92.70262201729172,2022-08-01
62,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,92.34925522368704,2022-09-01
65,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,74.18542152729925,2022-10-01
68,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,69.70518726963826,2022-11-01
71,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,58.34147934535827,2022-12-01
74,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,62.14834563768113,2022-01-01
77,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,65.92069568730089,2022-02-01
80,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,73.2980843329592,2022-03-01
83,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,80.3193485375706,2022-04-01
86,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,89.24948710939746,2022-05-01
89,JAKARTA SELATAN,6,2022,106.8083333333333,-6.283333333333336,96.55666181175485,2022-06-01
92,JAKARTA SELATAN,7,2022,106.8083333333333,-6.283333333333336,96.80142226563538,2022-07-01
