,KABKOT,month,year,longitude,latitude,so2,time
5,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,74.46029789653502,2022-02-01
8,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,95.49665412125115,2022-03-01
11,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,109.0705696782768,2022-04-01
14,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,123.26352847622724,2022-05-01
17,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,120.84604634053782,2022-06-01
20,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,123.37967326990191,2022-07-01
23,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,114.23073502354892,2022-08-01
26,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,106.8687045326969,2022-09-01
29,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,96.95351231278738,2022-10-01
32,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,93.5495734007941,2022-11-01
35,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,78.38714643536633,2022-12-01
38,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,81.39630373532304,2022-01-01
41,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,76.90853735500356,2022-02-01
44,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,99.13097494838112,2022-03-01
47,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,112.07227033788703,2022-04-01
50,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,126.38608436326328,2022-05-01
53,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,123.37046563774577,2022-06-01
56,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,125.5040905795375,2022-07-01
59,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,115.258836461273,2022-08-01
62,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,108.3195728098139,2022-09-01
65,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,99.51278226972596,2022-10-01
68,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,96.4709545784842,2022-11-01
71,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,81.36970411959803,2022-12-01
74,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,86.39050619407857,2022-01-01
77,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,81.58694829785183,2022-02-01
80,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,104.19066727462844,2022-03-01
83,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,119.10366827700547,2022-04-01
86,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,134.87274066371847,2022-05-01
89,JAKARTA SELATAN,6,2022,106.8083333333333,-6.283333333333336,132.07504107562258,2022-06-01
92,JAKARTA SELATAN,7,2022,106.8083333333333,-6.283333333333336,135.18218760166957,2022-07-01
95,JAKARTA SELATAN,8,2022,106.8083333333333,-6.283333333333336,123.8860497261315,2022-08-01
98,JAKARTA SELATAN,9,2022,106.8083333333333,-6.283333333333336,114.67340292784074,2022-09-01
101,JAKARTA SELATAN,10,2022,106.8083333333333,-6.283333333333336,104.74544412093057,2022-10-01
104,JAKARTA SELATAN,11,2022,106.8083333333333,-6.283333333333336,101.35413575485615,2022-11-01
107,JAKARTA SELATAN,12,2022,106.8083333333333,-6.283333333333336,85.51662863434365,2022-12-01
110,JAKARTA TIMUR,1,2022,106.90999999999997,-6.2600000000000025,83.72533301895939,2022-01-01
113,JAKARTA TIMUR,2,2022,106.90999999999997,-6.2600000000000025,78.67659979865574,2022-02-01
116,JAKARTA TIMUR,3,2022,106.90999999999997,-6.2600000000000025,101.44968951385341,2022-03-01
119,JAKARTA TIMUR,4,2022,106.90999999999997,-6.2600000000000025,114.34120228168995,2022-04-01
122,JAKARTA TIMUR,5,2022,106.90999999999997,-6.2600000000000025,129.05955759656436,2022-05-01
125,JAKARTA TIMUR,6,2022,106.90999999999997,-6.2600000000000025,125.71967894380005,2022-06-01
128,JAKARTA TIMUR,7,2022,106.90999999999997,-6.2600000000000025,127.8483695245121,2022-07-01
131,JAKARTA TIMUR,8,2022,106.90999999999997,-6.2600000000000025,116.14668319411744,2022-08-01
134,JAKARTA TIMUR,9,2022,106.90999999999997,-6.2600000000000025,109.00364936694754,2022-09-01
137,JAKARTA TIMUR,10,2022,106.90999999999997,-6.2600000000000025,100.84434562553453,2022-10-01
140,JAKARTA TIMUR,11,2022,106.90999999999997,-6.2600000000000025,98.23505922726233,2022-11-01
143,JAKARTA TIMUR,12,2022,106.90999999999997,-6.2600000000000025,83.33142923169417,2022-12-01
146,JAKARTA UTARA,1,2022,106.89166666666664,-6.1250000000000036,75.14409977829605,2022-01-01
149,JAKARTA UTARA,2,2022,106.89166666666664,-6.1250000000000036,70.9004309003357,2022-02-01
152,JAKARTA UTARA,3,2022,106.89166666666664,-6.1250000000000036,92.24771366229503,2022-03-01
155,JAKARTA UTARA,4,2022,106.89166666666664,-6.1250000000000036,103.48025230355506,2022-04-01
158,JAKARTA UTARA,5,2022,106.89166666666664,-6.1250000000000036,116.11613529955191,2022-05-01
161,JAKARTA UTARA,6,2022,106.89166666666664,-6.1250000000000036,113.07893354691576,2022-06-01
164,JAKARTA UTARA,7,2022,106.89166666666664,-6.1250000000000036,114.2894697699607,2022-07-01
167,JAKARTA UTARA,8,2022,106.89166666666664,-6.1250000000000036,104.86768796682311,2022-08-01
170,JAKARTA UTARA,9,2022,106.89166666666664,-6.1250000000000036,100.01964161439507,2022-09-01
173,JAKARTA UTARA,10,2022,106.89166666666664,-6.1250000000000036,92.4175711292811,2022-10-01
176,JAKARTA UTARA,11,2022,106.89166666666664,-6.1250000000000036,89.9219216896529,2022-11-01
179,JAKARTA UTARA,12,2022,106.89166666666664,-6.1250000000000036,75.75302983506401,2022-12-01
